imre,dtype,time,mlp_tk,attn_tk,mlp_rk,mlp_mbm,attn_full_step_every,attn_full_step_schedule,attn_local_voxels,attn_local_1d_window,attn_recompute_mask,mlp_full_step_every,mlp_block_mask_cache,step_caching
80.91411783848895,bf16,4.851,0.3,0.1,0.05,16,10,,0,0,True,10,1,False
63.243853571359054,bf16,2.451,0.3,0.165,0.05,16,20,,0,0,False,20,1,True
78.41456606345315,bf16,4.737,0.3,0.1,0.05,16,10,,0,0,True,10,3,False
75.5691294611897,bf16,4.742,0.3,0.165,0.05,16,20,,0,0,False,20,1,False
74.67695495748193,bf16,5.017,0.3,0.3,0.05,16,10,,0,0,True,10,2,False
59.021407344378495,bf16,2.453,0.3,0.165,0.05,128,10,,0,0,False,20,2,True
77.58394123613834,bf16,4.634,0.3,0.165,0.05,128,20,,0,0,True,20,2,False
65.1036449279054,bf16,2.501,0.3,0.3,0.05,128,20,,0,0,True,20,2,True
76.18621921318118,bf16,4.84,0.3,0.165,0.05,16,20,,0,0,False,10,1,False
78.04734544688834,bf16,4.804,0.3,0.165,0.05,16,10,,0,0,True,10,3,False
80.56935354182498,bf16,4.722,0.3,0.165,0.05,128,20,,0,0,True,20,1,False
78.54283122706693,bf16,4.887,0.3,0.165,0.05,16,10,,0,0,False,10,1,False
69.70231510302992,bf16,2.557,0.3,0.165,0.05,16,10,,0,0,True,10,3,True
75.5818048424844,bf16,4.706,0.3,0.165,0.05,128,20,,0,0,False,20,1,False
64.84778266213837,bf16,4.635,0.3,0.1,0.05,16,20,,0,0,False,10,3,False
49.636654744273976,bf16,2.456,0.3,0.165,0.05,16,10,,0,0,False,20,3,True
38.12849971457033,bf16,2.384,0.3,0.1,0.05,16,20,,0,0,False,20,2,True
79.63681781874041,bf16,4.854,0.3,0.165,0.05,16,20,,0,0,True,10,1,False
73.02123161777848,bf16,4.89,0.3,0.3,0.05,16,10,,0,0,False,20,2,False
73.09301475761461,bf16,4.65,0.3,0.165,0.05,128,10,,0,0,False,20,3,False
55.494361614051805,bf16,2.423,0.3,0.1,0.05,128,10,,0,0,True,20,3,True
76.9884503457579,bf16,4.712,0.3,0.165,0.05,128,20,,0,0,False,10,2,False
73.49159409900317,bf16,4.628,0.3,0.165,0.05,16,20,,0,0,True,20,3,False
68.63706732046556,bf16,4.601,0.3,0.1,0.05,16,10,,0,0,False,20,3,False
78.82909738365568,bf16,4.94,0.3,0.3,0.05,16,20,,0,0,False,20,1,False
52.351545246725394,bf16,2.469,0.3,0.1,0.05,128,20,,0,0,True,10,2,True
79.91799431759868,bf16,4.751,0.3,0.165,0.05,16,20,,0,0,True,10,2,False
73.11278458792356,bf16,4.59,0.3,0.1,0.05,16,20,,0,0,True,20,2,False
71.0840687934251,bf16,2.46,0.3,0.1,0.05,128,10,,0,0,True,20,1,True
81.13269625883544,bf16,4.829,0.3,0.165,0.05,128,20,,0,0,True,10,1,False
82.74958818970478,bf16,4.895,0.3,0.165,0.05,128,10,,0,0,True,10,1,False
77.28609092225088,bf16,4.812,0.3,0.165,0.05,16,10,,0,0,False,20,1,False
73.48998162546191,bf16,4.959,0.3,0.3,0.05,128,10,,0,0,False,10,3,False
52.09596808941564,bf16,2.421,0.3,0.1,0.05,128,10,,0,0,False,20,2,True
61.499512216119875,bf16,2.529,0.3,0.165,0.05,16,20,,0,0,True,10,2,True
66.14563785563226,bf16,2.567,0.3,0.3,0.05,128,20,,0,0,False,10,3,True
54.57467788615031,bf16,2.473,0.3,0.3,0.05,128,20,,0,0,False,20,3,True
